case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,186,99959,320,320,0.654278,628040
warm_1,0,187,99792,320,320,0.654583,628040
warm_1,0,188,100209,320,320,0.65489,628040
warm_1,0,189,101542,320,320,0.655196,628040
warm_1,0,190,99500,320,320,0.655501,628040
warm_1,0,191,100000,320,320,0.655804,628040
warm_1,0,192,99875,320,320,0.656103,628040
warm_1,0,193,100209,320,320,0.656397,628040
warm_1,0,194,99917,320,320,0.656686,628040
warm_1,0,195,99167,320,320,0.656968,628040
warm_1,0,196,100459,320,320,0.657244,628040
warm_1,0,197,99833,320,320,0.657513,628040
warm_1,0,198,99792,320,320,0.657774,628040
warm_1,0,199,99542,320,320,0.658028,628040
warm_1,0,200,100000,320,320,0.658274,628040
warm_1,0,201,99541,320,320,0.658512,628040
warm_1,0,202,100042,320,320,0.658744,628040
warm_1,0,203,99792,320,320,0.658969,628040
warm_1,0,204,99917,320,320,0.659187,628040
warm_1,0,205,99959,320,320,0.6594,628040
warm_1,0,206,99875,320,320,0.659609,628040
warm_1,0,207,99209,320,320,0.659814,628040
warm_1,0,208,99708,320,320,0.660015,628040
warm_1,0,209,100166,320,320,0.660215,628040
warm_1,0,210,99541,320,320,0.660414,628040
warm_1,0,211,99625,320,320,0.660612,628040
warm_1,0,212,99584,320,320,0.660811,628040
warm_1,0,213,97875,320,320,0.661013,628040
warm_1,0,214,96708,320,320,0.661216,628040
warm_1,0,215,96000,320,320,0.661422,628040
warm_1,0,216,96000,320,320,0.66163,628040
warm_1,0,217,96125,320,320,0.661842,628040
warm_1,0,218,95958,320,320,0.662058,628040
warm_1,0,219,95958,320,320,0.662277,628040
warm_1,0,220,96291,320,320,0.6625,628040
warm_1,0,221,96500,320,320,0.662728,628040
warm_1,0,222,96417,320,320,0.662959,628040
warm_1,0,223,97042,320,320,0.663194,628040
warm_1,0,224,96250,320,320,0.663431,628040
warm_1,0,225,96458,320,320,0.663671,628040
warm_1,0,226,96291,320,320,0.663911,628040
warm_1,0,227,96000,320,320,0.664152,628040
warm_1,0,228,96458,320,320,0.664394,628040
warm_1,0,229,96791,320,320,0.664636,628040
warm_1,0,230,95916,320,320,0.664876,628040
warm_1,0,231,96500,320,320,0.665115,628040
