sample,integrate_ns,proxies_ns,broadphase_ns,contacts_ns,solve_ns,pairs,contacts
253,5708,2459,2833,4167,357958,320,320
254,5750,2458,2834,4083,356292,320,320
255,5667,2458,2792,4208,356167,320,320
256,5708,2459,2833,4125,353667,320,320
257,5709,2458,2833,4250,354250,320,320
258,5750,2417,2833,4208,356167,320,320
259,5667,2458,2833,4167,354750,320,320
260,5750,2417,2833,4333,354750,320,320
261,5667,2458,2833,4209,356125,320,320
262,5750,2458,2833,4334,354958,320,320
263,5708,2417,2833,4125,357792,320,320
264,5708,2459,2833,4333,355417,320,320
265,5708,2459,2833,4417,364916,320,320
266,5792,2458,2834,4166,354375,320,320
267,5792,2416,2917,4375,357958,320,320
268,5708,2417,2833,4375,358500,320,320
269,5709,2458,2833,4209,353958,320,320
270,5708,2542,2833,4125,354584,320,320
271,5708,2458,2834,4208,356583,320,320
272,5750,2417,2833,4417,355541,320,320
273,5709,2458,2875,4333,354167,320,320
274,5750,2458,2834,4375,354125,320,320
275,5666,2542,2833,4250,355917,320,320
276,5750,2417,2833,4333,354209,320,320
277,5708,2458,2834,4375,354125,320,320
278,5792,2458,2834,4458,354417,320,320
279,5750,2458,2833,4292,357625,320,320
280,5708,2458,2834,4375,353291,320,320
281,5792,2458,2875,4292,354958,320,320
282,5750,2459,2833,4333,356709,320,320
283,5791,2542,2833,4167,357625,320,320
284,5708,2458,2834,4333,358333,320,320
285,5750,2458,2834,4208,353917,320,320
286,5791,2417,2833,4334,357000,320,320
287,5709,2416,2834,4166,354167,320,320
288,5833,2500,2833,4417,355875,320,320
289,5708,2458,2834,4375,355083,320,320
290,5708,2458,2792,4167,356333,320,320
291,5750,2416,2834,4250,357583,320,320
292,5708,2458,2834,4291,354500,320,320
293,5834,2416,2875,4292,354500,320,320
294,5708,2459,2833,4375,355417,320,320
295,5709,2416,2959,4250,357375,320,320
296,5709,2458,2833,4334,355250,320,320
297,5625,2458,2833,4375,353709,320,320
298,5834,2458,2917,4208,355292,320,320
299,5750,2458,2833,4125,360084,320,320
300,5750,2458,2917,4333,356708,320,320
301,5750,2542,2833,4125,358125,320,320
302,5708,2459,2791,4334,356916,320,320
303,5709,2458,2792,4166,355417,320,320
304,5708,2459,2875,4333,357167,320,320
305,5709,2541,2917,4333,354209,320,320
306,5791,2417,2833,4334,353750,320,320
307,5709,2458,2833,4334,358333,320,320
308,5750,2417,2833,4167,362166,320,320
309,5667,2458,2875,4417,358125,320,320
310,5750,2417,2833,4417,356083,320,320
311,5750,2417,2833,4292,353125,320,320
312,5708,2542,2875,4125,367416,320,320
313,6208,3084,3708,5333,365917,320,320
314,5833,2542,2875,4541,355667,320,320
315,5666,2459,2833,4417,355166,320,320
316,5667,2458,2875,4417,355416,320,320
317,5708,2459,2833,4250,354292,320,320
318,5708,2458,2875,4459,354000,320,320
319,5667,2458,2792,4333,353709,320,320
320,5792,2458,2875,4125,355584,320,320
321,5750,2541,2792,4292,353625,320,320
322,5709,2458,2792,4333,353917,320,320
323,5708,2542,2833,4125,354542,320,320
324,5625,2459,2833,4333,353834,320,320
325,5709,2458,2792,4416,355250,320,320
326,5792,2417,2916,4084,355166,320,320
327,5792,2417,2875,4250,355333,320,320
328,5708,2500,2833,4209,356666,320,320
329,5750,2417,2833,4250,358292,320,320
330,5750,2459,2791,4459,368416,320,320
331,5875,2500,2834,4250,356750,320,320
332,5750,2500,2833,4375,355542,320,320
333,5708,2458,2792,4333,354417,320,320
334,5625,2458,2875,4167,357125,320,320
335,5791,2375,2875,4334,355916,320,320
336,5709,2458,2792,4416,356250,320,320
337,5750,2459,2791,4292,359167,320,320
338,5750,2458,2792,4416,355750,320,320
339,5708,2459,2875,4333,355125,320,320
340,5750,2500,2875,4333,357209,320,320
341,5834,2458,2875,4167,368250,320,320
342,5750,2500,2834,4291,354417,320,320
343,5750,2500,2833,4209,357708,320,320
344,5750,2416,2875,4334,354125,320,320
345,5750,2459,2833,4375,354292,320,320
346,5791,2459,2833,4292,359458,320,320
347,5708,2458,2792,4292,355875,320,320
348,5750,2458,2875,4333,354292,320,320
349,5750,2500,2833,4292,353583,320,320
350,5708,2459,2833,4333,353542,320,320
351,5750,2500,2833,4167,362292,320,320
352,5792,2458,2834,4333,355667,320,320
353,5709,2416,2834,4375,355000,320,320
354,5709,2458,2792,4166,356834,320,320
355,5792,2458,2792,4208,360167,320,320
356,5833,2500,2917,4167,358875,320,320
357,5834,2500,2875,4375,368416,320,320
358,5834,2500,2875,4208,364208,320,320
359,5792,2500,2833,4417,368041,320,320
360,5834,2500,2875,4416,360000,320,320
361,5833,2500,2959,4333,360708,320,320
362,5875,2500,2875,4667,402750,320,320
363,6291,2709,3291,4459,363916,320,320
364,5834,2500,2875,4166,358917,320,320
365,5833,2542,2875,4500,369792,320,320
366,5875,3041,3584,5583,365458,320,320
367,5709,2458,2917,4291,356667,320,320
368,5750,2458,2792,4167,355541,320,320
369,5750,2417,2833,4250,357917,320,320
370,5792,2458,2792,4333,359542,320,320
371,5709,2458,2833,4417,355042,320,320
372,5750,2417,2833,4375,354167,320,320
373,5666,2459,2875,4166,359750,320,320
374,5750,2459,2833,4167,354541,320,320
375,5709,2458,2792,4416,353709,320,320
376,5875,2416,2875,4250,354167,320,320
377,5750,2458,2834,4333,354500,320,320
378,5667,2458,2958,4417,354833,320,320
379,5750,2458,2792,4125,357875,320,320
380,5625,2458,2833,4334,353625,320,320
381,5666,2459,2833,4167,353708,320,320
382,5750,2417,2833,4083,355209,320,320
383,5625,2417,2875,4167,355416,320,320
384,5709,2458,2833,4292,359167,320,320
385,5750,2458,2833,4209,354833,320,320
386,5708,2417,2833,4125,355417,320,320
387,5709,2416,2834,4333,356708,320,320
388,5792,2416,2834,4333,354042,320,320
389,5750,2459,2833,4167,355583,320,320
390,5750,2500,2833,4250,355458,320,320
391,5792,2458,2834,4083,357125,320,320
392,5750,2458,2833,4334,354541,320,320
393,5709,2458,2833,4167,353708,320,320
394,5708,2417,2833,4334,355458,320,320
395,5750,2417,2833,4292,353541,320,320
396,5792,2417,2875,4291,356584,320,320
397,5750,2417,2792,4166,356167,320,320
398,5792,2458,2833,4292,354875,320,320
399,5750,2458,2834,4125,354041,320,320
400,5708,2459,2833,4083,354000,320,320
401,5708,2459,2791,4125,355792,320,320
402,5791,2834,3583,5417,360750,320,320
403,5791,2417,2917,4250,354458,320,320
404,5667,2458,2833,4167,358750,320,320
405,5625,2458,2875,4125,356750,320,320
406,5791,2417,2875,4333,367500,320,320
407,7292,3167,3541,4625,369792,320,320
408,5750,2458,2875,4250,367792,320,320
409,5667,2458,2833,4459,356666,320,320
410,5792,2458,2792,4333,352792,320,320
411,5708,2459,2875,4083,359667,320,320
412,5750,2541,2792,4292,354416,320,320
413,5750,2417,2833,4125,355000,320,320
414,5709,2458,2833,4334,357250,320,320
415,5667,2458,2834,4291,359292,320,320
416,5750,2458,2834,4083,357375,320,320
417,5750,2458,2792,4375,355750,320,320
